百日咳 20 mil
苯中毒 20 mil
喘息样支气管炎 20 mil
成人呼吸窘迫综合征 20 mil
大量羊水吸入 20 mil
单纯性肺嗜酸粒细胞浸润症 20 mil
大叶性肺炎 20 mil
大楼病综合征 20 mil
二硫化碳中毒 20 mil
肺、胸膜阿米巴病 20 mil
肺出血－肾炎综合征 20 mil
肺放线菌病 20 mil
肺泡蛋白沉着症 20 mil
肺曲菌病 20 mil
放射性肺炎 20 mil
肺念珠菌病 20 mil
肺大疱 20 mil
肺炎球菌肺炎 20 mil
肺气肿 20 mil
肺泡蛋白质沉积症 20 mil
肺炎杆菌肺炎 20 mil
肺脓肿 20 mil
肺水肿 20 mil
非典 20 mil
肺栓塞 20 mil
肺炎 20 mil
肺转移瘤 20 mil
肺大泡 20 mil
肺炎性假瘤 20 mil
肺隐球菌病 20 mil
肺癌 20 mil
镉中毒 20 mil
感冒 20 mil
感染性休克 20 mil
过敏性休克 20 mil
Goodpasture综合征 20 mil
过敏性肺炎 20 mil
汞中毒 20 mil
呼吸道异物 20 mil
呼吸性细支气管相关的间质性肺疾病 20 mil
呼吸衰竭 20 mil
呼吸道合胞病毒肺炎 20 mil
减压病 20 mil
急性呼吸衰竭 20 mil
急性肺脓肿 20 mil
军团病 20 mil
急性呼吸窘迫综合征 20 mil
军团菌病 20 mil
结核性脓胸 20 mil
金黄色葡萄球菌肺炎 20 mil
咖啡因与氨茶碱中毒 20 mil
卡氏肺囊虫肺炎 20 mil
咯血 20 mil
硫化氢中毒 20 mil
老年肺炎 20 mil
流行性感冒 20 mil
免疫缺陷者肺炎 20 mil
镍中毒 20 mil
铍中毒 20 mil
缺血缺氧性脑病 20 mil
气胸 20 mil
球孢子菌病 20 mil
禽流感 20 mil
迁延性肺嗜酸粒细胞浸润症 20 mil
气管肿瘤 20 mil
气管先天性疾病 20 mil
气管、支气管狭窄 20 mil
乳酸性酸中毒 20 mil
热带性肺嗜酸粒细胞浸润症 20 mil
手术后和创伤后肺炎 20 mil
鼾症 20 mil
特发性肺纤维化 20 mil
脱屑性间质性肺炎 20 mil
特发性阻塞性细支气管炎伴机化性肺炎 20 mil
特发性含铁血黄素沉着症 20 mil
外源性过敏性肺泡炎 20 mil
小儿结核病 20 mil
新生儿呼吸窘迫综合征 20 mil
吸入性损伤 20 mil
小儿金黄色葡萄球菌肺炎 20 mil
小儿急性支气管炎 20 mil
小儿流行性感冒 20 mil
小儿急性喉炎 20 mil
矽肺 20 mil
新生儿窒息 20 mil
小儿支原体肺炎 20 mil
新生儿肺不张 20 mil
小儿感冒 20 mil
哮喘 20 mil
小儿哮喘 20 mil
小儿肺炎 20 mil
新生儿呼吸暂停 20 mil
先天性肺囊肿 20 mil
休克型肺炎 20 mil
吸入性肺炎 20 mil
腺病毒肺炎 20 mil
哮喘性肺嗜酸粒细胞浸润症 20 mil
细菌性肺炎 20 mil
新生儿湿肺 20 mil
胸壁结核 20 mil
乙醚中毒 20 mil
淹溺 20 mil
衣原体肺炎 20 mil
羊水与胎粪吸入综合征 20 mil
一氧化碳中毒 20 mil
阻塞性肺气肿 20 mil
支原体肺炎 20 mil
支气管扩张 20 mil
支气管肺炎 20 mil
变应性血管炎 20 mil
病毒性心肌炎 20 mil
病态窦房结综合征 20 mil
川崎病 20 mil
穿透性心脏外伤 20 mil
窦性停搏 20 mil
单心室 20 mil
单心房 20 mil
单纯性下肢静脉曲张 20 mil
动脉硬化 20 mil
动脉导管未闭 20 mil
窦性心动过速 20 mil
动脉瘤 20 mil
二尖瓣关闭不全 20 mil
二尖瓣狭窄 20 mil
二尖瓣脱垂综合征 20 mil
二尖瓣环钙化 20 mil
肺性脑病 20 mil
风湿性二尖瓣狭窄 20 mil
风湿性二尖瓣关闭不全 20 mil
肥厚型梗阻性心肌病 20 mil
房室管畸形 20 mil
法乐四联症 20 mil
风湿热 20 mil
肺动脉口狭窄 20 mil
肥厚型心肌病 20 mil
房室传导阻滞 20 mil
肺动静脉瘘 20 mil
高血压危象 20 mil
高血压 20 mil
冠状动脉终止异常 20 mil
冠状动脉异位起源 20 mil
感染性心内膜炎 20 mil
冠心病 20 mil
后天性三尖瓣关闭不全 20 mil
后天性动静脉瘘 20 mil
间歇性眼球突出症 20 mil
急性心肌梗死 20 mil
酒精性心肌病 20 mil
急性心功能不全 20 mil
急性感染性心内膜炎 20 mil
急性心包炎 20 mil
急性心力衰竭 20 mil
甲亢 20 mil
扩张型心肌病 20 mil
克山病 20 mil
雷诺病 20 mil
慢性肺源性心脏病 20 mil
缺血性心肌病 20 mil
四肢血栓性浅静脉炎 20 mil
三尖瓣下移畸形 20 mil
三尖瓣狭窄 20 mil
三尖瓣关闭不全 20 mil
三尖瓣闭锁 20 mil
三房心 20 mil
颈动脉体瘤 20 mil
完全性肺静脉异位回流 20 mil
完全性大动脉错位 20 mil
休克 20 mil
新生儿缺氧缺血性脑病 20 mil
新生儿硬肿症 20 mil
血管瘤 20 mil
先天性风疹 20 mil
血栓闭塞性脉管炎 20 mil
胸降主动脉动脉瘤 20 mil
胸主动脉夹层动脉瘤 20 mil
心脏神经官能症 20 mil
心内膜弹性纤维增生症 20 mil
心绞痛 20 mil
心肌梗塞并发心室间隔穿破 20 mil
心肌梗塞并发二尖瓣关闭不全 20 mil
心肌梗死 20 mil
心功能障碍 20 mil
心包囊肿 20 mil
小儿高血压 20 mil
小儿充血性心力衰竭 20 mil
心肌梗塞并发左心室室壁瘤 20 mil
先天性主动脉缩窄 20 mil
先天性主动脉弓畸形 20 mil
先天性主动脉瓣下狭窄 20 mil
先天性主动脉瓣上狭窄 20 mil
先天性动脉导管未闭 20 mil
先天性动静脉瘘 20 mil
先天性二尖瓣畸形 20 mil
心包积液 20 mil
心肌病 20 mil
心律失常 20 mil
限制型心肌病 20 mil
心房扑动与心房颤动 20 mil
心室内传导阻滞 20 mil
先天性主动脉瓣窦动脉瘤破裂 20 mil
心包肿瘤 20 mil
血管运动性鼻炎 20 mil
胸腔积液 20 mil
心肌炎 20 mil
心脏内粘液瘤 20 mil
心室间隔缺损 20 mil
羊水过多 20 mil
原发性下肢静脉瓣膜关闭不全 20 mil
亚急性感染性心内膜炎 20 mil
乙状窦血栓性静脉炎 20 mil
左心室双出口 20 mil
左心发育不良 20 mil
自发性血胸 20 mil
主-肺动脉隔缺损 20 mil
主动脉夹层 20 mil
主动脉瓣狭窄合并关闭不全 20 mil
主动脉瓣膜部狭窄 20 mil
阵发性室上性心动过速 20 mil
早搏 20 mil
主动脉瘤 20 mil
主动脉瓣狭窄 20 mil
主动脉瓣关闭不全 20 mil
阵发性室性心动过速 20 mil
中暑衰竭 20 mil
阿米巴肝脓肿 20 mil
氨基甲酸酯类农药中毒 20 mil
阿米巴肠病 20 mil
阿片类药物中毒 20 mil
柏-查综合征 20 mil
Brenneman综合征 20 mil
巴瑞特综合征 20 mil
半乳糖血症 20 mil
暴发性肝功能衰竭 20 mil
鞭虫病 20 mil
布卡综合症 20 mil
暴发性肝炎样综合征 20 mil
便秘 20 mil
吡唑酮类中毒 20 mil
Barrett食管 20 mil
贲门失弛缓症 20 mil
钡中毒 20 mil
变形杆菌食物中毒 20 mil
蓖麻子中毒 20 mil
铋中毒 20 mil
丙型病毒性肝炎 20 mil
肠病性肢皮炎综合征 20 mil
肠道菌群失调症 20 mil
肠扭转综合征 20 mil
肠气肿综合征 20 mil
肠系膜淋巴结结核 20 mil
肠系膜上动脉压迫综合征 20 mil
粗制棉子油中毒 20 mil
肠扭转 20 mil
肠套叠 20 mil
肠间脓肿 20 mil
残胃癌 20 mil
残窦综合征 20 mil
肠易激综合征 20 mil
肠梗阻 20 mil
苍耳中毒 20 mil
肠道病毒所致各系统感染 20 mil
肠系膜上动脉栓塞 20 mil
肠道气囊肿症 20 mil
餐后血糖过低症 20 mil
肠结核 20 mil
肠系膜上静脉血栓形成 20 mil
大网膜扭转 20 mil
胆道运动功能障碍综合征 20 mil
胆道张力低下综合征 20 mil
胆囊管综合征 20 mil
胆石性肠绞塞综合征 20 mil
胆汁淤积性黄疸 20 mil
第五日综合征 20 mil
